CODICESCUOLA,NUMEROSTUDENTI,STUDENTIIRC
TNIC84800Q,708,566
TNIC82100Q,899,798
TNIC832006,476,464
TNIC86000A,622,557
TNIC816008,536,492
TNIC840005,1336,1146
TNIC84700X,346,324
TNIC82900A,791,731
TNIC833002,629,591
TNIC812001,634,546
TNIC809005,784,706
TNIC82200G,691,622
TNIC81300R,773,694
TNIC817004,557,480
TNIC83100A,706,606
TNIC838005,857,744
TNIC810009,834,740
TNIC804002,270,264
TNIC82800E,903,820
TNIC837009,660,570
TNIC845008,850,715
TNIC825003,927,758
TNIC81800X,1167,973
TNIC82300B,899,766
TNIC824007,1115,925
TNIC84900G,1089,959
TNIC81400L,968,816
TNIC81500C,990,802
TNIC808009,725,661
TNIC841001,998,786
TNIC84200R,863,704
TNIC853007,877,608
TNIC859006,757,546
TNIC85500V,1040,739
TNIC80100E,605,566
TNIC82600V,580,510
TNIC83600D,681,604
TNIC81900Q,797,688
TNIC82000X,1051,940
TNIC85600P,1138,845
TNIC85700E,760,530
TNIC85200B,1414,1033
TNIC85800A,1288,960
TNIC85100G,1265,922
TNIC83400T,778,754
TNIC84400C,1353,1181
TNIC80600N,377,332
TNIC803006,400,368
TNIC846004,728,583
TNIC85000Q,1254,1175
TNIS00200E,668,574
TNIS009009,921,573
TNIS00700N,880,781
TNIS00100P,669,610
TNIS004006,794,565
TNIS00300A,695,430
TNTD18000T,822,599
TNTD100001,692,574
TNTD020009,425,273
TNIS00800D,597,420
TNTF02000G,871,640
TNIS013001,1458,1059
TNPC01000Q,868,640
TNPC02000A,1081,867
TNPM01000X,944,725
TNIS00600T,848,699
TNPM02000E,590,433
TNPC04000G,444,376
TNSD02000X,1167,753
TNPS11000Q,838,595
TNPS01000V,841,680
TNPS02000D,1366,1071
