CODICESCUOLA,NUMEROSTUDENTI,STUDENTIIRC
TNIC84800Q,682,529
TNIC82100Q,936,823
TNIC832006,476,457
TNIC86000A,595,528
TNIC816008,522,487
TNIC840005,1338,1107
TNIC84700X,344,324
TNIC82900A,732,677
TNIC833002,610,566
TNIC812001,595,501
TNIC861006,302,272
TNIC809005,774,699
TNIC82200G,671,599
TNIC81300R,774,690
TNIC817004,547,464
TNIC83100A,689,585
TNIC838005,800,692
TNIC810009,792,711
TNIC804002,265,260
TNIC82800E,871,775
TNIC837009,622,541
TNIC845008,846,703
TNIC825003,908,730
TNIC81800X,1175,970
TNIC82300B,912,758
TNIC824007,1092,889
TNIC84900G,771,658
TNIC81400L,906,759
TNIC81500C,1034,816
TNIC808009,709,624
TNIC841001,982,751
TNIC84200R,870,719
TNIC853007,825,566
TNIC859006,773,541
TNIC85500V,968,688
TNIC80100E,572,534
TNIC82600V,594,515
TNIC83600D,707,624
TNIC81900Q,736,617
TNIC82000X,981,859
TNIC85600P,1116,777
TNIC85700E,687,482
TNIC85200B,1354,958
TNIC85800A,1245,904
TNIC85100G,1243,872
TNIC83400T,765,740
TNIC84400C,1359,1136
TNIC80600N,351,298
TNIC803006,407,376
TNIC846004,728,579
TNIC85000Q,1196,1118
TNIS00200E,683,574
TNIS009009,738,411
TNIS00700N,909,810
TNIS00100P,572,475
TNIS004006,699,479
TNIS00300A,884,566
TNTD18000T,819,557
TNTD100001,689,550
TNTD020009,399,242
TNIS00800D,601,390
TNTF02000G,932,637
TNIS013001,1626,1110
TNPC01000Q,907,667
TNPC02000A,1070,861
TNPM01000X,984,762
TNIS00600T,855,721
TNPM02000E,676,470
TNPC04000G,390,324
TNSD02000X,1218,743
TNPS11000Q,796,565
TNPS01000V,880,692
TNPS02000D,1445,1082
