CODICESCUOLA,NUMEROSTUDENTI,STUDENTIIRC
TNIC84800Q,648,486
TNIC821000,916,762
TNIC832006,461,430
TNIC86000A,565,479
TNIC816008,493,447
TNIC840005,1260,974
TNIC84700X,324,288
TNIC82900A,686,623
TNIC833002,570,525
TNIC812001,592,501
TNIC861006,284,239
TNIC809005,679,592
TNIC82200G,678,574
TNIC81300R,705,618
TNIC817004,567,465
TNIC83100A,678,554
TNIC838005,709,590
TNIC810009,795,704
TNIC804002,236,226
TNIC82800E,874,770
TNIC837009,622,531
TNIC845008,835,676
TNIC825003,903,680
TNIC81800X,1088,903
TNIC82300B,905,735
TNIC824007,1049,834
TNIC84900G,733,597
TNIC81400L,798,683
TNIC81500C,961,746
TNIC808009,683,565
TNIC841001,931,705
TNIC84200R,833,624
TNIC853007,799,499
TNIC859006,710,482
TNIC85500V,881,595
TNIC80100E,554,515
TNIC82600V,639,545
TNIC83600D,716,598
TNIC81900Q,644,550
TNIC82000X,902,791
TNIC85600P,1033,708
TNIC85700E,681,475
TNIC85200B,1281,859
TNIC85800A,1134,787
TNIC85100G,1173,764
TNIC83400T,699,673
TNIC84400C,1272,1018
TNIC80600N,323,287
TNIC803006,405,357
TNIC846004,720,537
TNIS00200E,771,623
TNIS009009,607,361
TNIS00700N,912,775
TNIS0010OP,634,517
TNIS004006,804,512
TNIS00300A,1044,701
TNTD18000T,918,587
TNTD100001,650,505
TNTD020009,551,307
TNIS00800D,648,404
TNTF02000G,883,518
TNIS013001,1767,1144
TNPC010000,1001,675
TNPC02000A,943,756
TNPM01000X,1041,720
TNIS00600T,814,685
TNPM02000E,655,443
TNPC04000G,364,286
TNSD02000X,1244,696
TNPS110000,754,532
TNPS01000V,829,587
TNPS02000D,1415,989
TNIC85000Q,1110,998
TN1M007003,216,0
TNTD37500F,750,750
TN1M00200X,360,360
TN1E005006,175,175
TNTA01500B,464,406
TNPS00500B,341,226
TNPM015003,590,590
TN1M00500B,217,217
TN1E00200P,117,117
t046443348,165,54
TN1E00700T,257,257
TNRI015007,314,155
