CODICESCUOLA,NUMEROSTUDENTI,STUDENTIIRC
TNIC84800Q,715,573
TNIC82100Q,919,823
TNIC832006,495,483
TNIC86000A,640,568
TNIC816008,524,484
TNIC840005,1327,1145
TNIC84700X,348,332
TNIC82900A,802,745
TNIC833002,616,579
TNIC812001,658,573
TNIC809005,762,697
TNIC82200G,685,609
TNIC81300R,788,717
TNIC817004,552,462
TNIC83100A,713,616
TNIC838005,847,746
TNIC810009,835,730
TNIC804002,296,294
TNIC82800E,910,824
TNIC837009,676,583
TNIC845008,805,686
TNIC825003,927,769
TNIC81800X,1163,976
TNIC82300B,895,766
TNIC824007,1103,916
TNIC84900G,1114,971
TNIC81400L,981,835
TNIC81500C,1031,837
TNIC808009,732,670
TNIC841001,980,771
TNIC84200R,881,707
TNIC853007,867,607
TNIC859006,770,567
TNIC85500V,1055,764
TNIC80100E,615,568
TNIC82600V,588,517
TNIC83600D,671,601
TNIC81900Q,796,694
TNIC82000X,1038,940
TNIC85600P,1114,843
TNIC85700E,763,552
TNIC85200B,1429,1046
TNIC85800A,1259,951
TNIC85100G,1283,966
TNIC83400T,783,758
TNIC84400C,1315,1149
TNIC80600N,417,369
TNIC803006,411,382
TNIC846004,729,608
TNIC85000Q,1236,1174
TNIS00200E,628,554
TNIS009009,955,592
TNIS00700N,898,809
TNIS00100P,701,638
TNIS004006,859,598
TNIS00300A,589,370
TNTD18000T,859,613
TNTD100001,716,607
TNTD020009,432,313
TNIS00800D,598,411
TNTF02000G,844,647
TNIS013001,1435,1059
TNPC01000Q,851,643
TNPC02000A,1075,874
TNPM01000X,920,685
TNIS00600T,898,757
TNPM02000E,548,393
TNPC04000G,472,407
TNSD02000X,1170,814
TNPS11000Q,870,629
TNPS01000V,823,688
TNPS02000D,1375,1050
