CODICESCUOLA,NUMEROSTUDENTI,STUDENTIIRC
TNIC84800Q,700,558
TNIC82100Q,929,831
TNIC832006,471,456
TNIC86000A,608,546
TNIC816008,513,475
TNIC840005,1325,1125
TNIC84700X,339,319
TNIC82900A,764,705
TNIC833002,610,573
TNIC812001,594,502
TNIC861006,311,280
TNIC809005,779,704
TNIC82200G,670,604
TNIC81300R,771,692
TNIC817004,569,492
TNIC83100A,719,617
TNIC838005,830,716
TNIC810009,832,744
TNIC804002,263,261
TNIC82800E,884,798
TNIC837009,627,542
TNIC845008,852,711
TNIC825003,911,731
TNIC81800X,1173,974
TNIC82300B,914,768
TNIC824007,1089,895
TNIC84900G,769,655
TNIC81400L,951,799
TNIC81500C,999,815
TNIC808009,716,648
TNIC841001,988,784
TNIC84200R,858,709
TNIC853007,846,602
TNIC859006,758,539
TNIC85500V,1017,720
TNIC80100E,575,545
TNIC82600V,581,501
TNIC83600D,700,610
TNIC81900Q,767,645
TNIC82000X,1042,916
TNIC85600P,1140,828
TNIC85700E,730,512
TNIC85200B,1348,963
TNIC85800A,1260,942
TNIC85100G,1261,914
TNIC83400T,775,750
TNIC84400C,1368,1165
TNIC80600N,362,310
TNIC803006,415,380
TNIC846004,737,580
TNIC85000Q,1244,1165
TNIS00200E,704,594
TNIS009009,814,466
TNIS00700N,901,803
TNIS00100P,610,531
TNIS004006,775,537
TNIS00300A,824,516
TNTD18000T,846,609
TNTD100001,697,564
TNTD020009,424,257
TNIS00800D,610,419
TNTF02000G,924,643
TNIS013001,1544,1121
TNPC01000Q,880,615
TNPC02000A,1087,874
TNPM01000X,954,738
TNIS00600T,861,721
TNPM02000E,664,463
TNPC04000G,449,378
TNSD02000X,1191,753
TNPS11000Q,821,587
TNPS01000V,863,682
TNPS02000D,1422,1106
