CODICESCUOLA,NUMEROSTUDENTI,STUDENTIIRC
TNIC84800Q,657,506
TNIC82100Q,949,804
TNIC832006,455,434
TNIC86000A,560,479
TNIC816008,505,463
TNIC840005,1297,1014
TNIC84700X,332,304
TNIC82900A,714,659
TNIC833002,580,534
TNIC812001,592,498
TNIC861006,286,249
TNIC809005,697,612
TNIC82200G,669,587
TNIC81300R,756,670
TNIC817004,567,483
TNIC83100A,677,562
TNIC838005,723,614
TNIC810009,806,706
TNIC82800E,882,776
TNIC837009,631,541
TNIC845008,853,691
TNIC825003,921,713
TNIC81800X,1105,910
TNIC82300B,928,745
TNIC824007,1070,862
TNIC84900G,760,625
TNIC81400L,864,732
TNIC81500C,1010,789
TNIC808009,695,575
TNIC841001,989,762
TNIC84200R,844,660
TNIC853007,778,505
TNIC859006,728,504
TNIC85500V,900,624
TNIC80100E,562,520
TNIC82600V,600,521
TNIC83600D,725,604
TNIC81900Q,693,600
TNIC82000X,909,804
TNIC85600P,1075,750
TNIC85700E,687,475
TNIC85200B,1290,857
TNIC85800A,1172,830
TNIC85100G,1186,788
TNIC83400T,710,682
TNIC84400C,1313,1072
TNIC80600N,336,288
TNIC803006,424,393
TNIC846004,723,573
TNIC85000Q,1176,1077
TNIS00200E,731,596
TNIS009009,644,376
TNIS00700N,929,817
TNIS00100P,631,519
TNIS004006,795,490
TNIS00300A,997,646
TNTD18000T,834,543
TNTD100001,686,519
TNTD020009,511,289
TNIS00800D,674,423
TNTF02000G,925,512
TNIS013001,1777,1115
TNPC01000Q,952,677
TNPC02000A,1005,812
TNPM01000X,1014,742
TNIS00600T,861,698
TNPM02000E,652,446
TNPC04000G,378,304
TNSD02000X,1236,747
TNPS11000Q,763,544
TNPS01000V,843,631
TNPS02000D,1463,1043
