CODICESCUOLA,NUMEROSTUDENTI,STUDENTIIRC
TBEE030023,63,59
TBEE030045,20,18
TBEE030056,30,30
TBEE030012,139,110
TBEE030067,90,90
TBEE030089,50,46
TBEE00203X,61,42
TBEE00201T,333,243
TBEE002041,70,58
TBEE10102X,30,30
TBEE10101V,322,273
TBEE101031,29,29
TBEE101042,17,17
TBEE101053,94,92
TBEE00804X,61,57
TBEE00801R,410,341
TBEE00802T,103,100
TBEE008051,90,88
TBEE00803V,81,72
TBEE001045,39,39
TBEE001012,314,307
TBEE001078,137,136
TBEE014025,29,28
TBEE014014,149,127
TBEE01407A,11,11
TBEE014069,75,74
TBEE01408B,19,11
TBEE01409C,28,28
TBEE014047,36,36
TBEE014036,72,68
TBEE014058,47,47
TBEE015032,77,76
TBEE015043,40,40
TBEE015076,25,25
TBEE015065,190,185
TBEE01501X,92,89
TBEE015021,39,38
TBEE015087,68,65
TBEE015054,16,10
TBEE100013,256,213
TBEE100046,96,90
TBEE100035,194,183
TBEE100024,104,98
TBEE01706R,29,27
TBEE01707T,70,56
TBEE01701G,166,147
TBEE01702L,27,24
TBEE01709X,110,60
TBEE04204B,22,0
TBEE04205C,26,15
TBEE04206D,44,40
TBEE04207E,68,64
TBEE04208G,56,55
TBEE04209L,64,63
TBEE042007,154,125
TBEE042029,73,73
TBEE04203A,20,20
TBEE80402D,46,43
TBEE80403E,59,59
TBEE80401C,106,103
TBEE80404G,27,27
TBEE80405L,47,43
TBEE80406N,36,36
TBEE80407P,17,17
TBEE80201R,263,240
TBEE80202T,132,128
TBEE80301L,95,86
TBEE80302N,101,95
TBEE83601X,347,149
TBEE809021,78,49
TBEE835014,431,371
TBEE805018,174,132
TBEE805029,82,69
TBEE81002R,30,30
TBEE810061,45,44
TBEE81001Q,161,139
TBEE810072,215,199
TBEE101005,121,84
TBEE81004V,82,79
TBEE81005X,17,16
TBEE825011,111,109
TBEE828033,41,40
TBEE82901R,76,75
TBEE82902T,19,19
TBEE10203R,57,54
TBEE10201P,60,55
TBEE10204T,38,37
TBEE102093,166,163
TBEE10206X,159,147
TBEE102082,27,27
TBEE102071,19,19
TBEE806036,55,53
TBEE806014,134,125
TBEE806025,31,31
TBEE806047,35,34
TBEE806058,108,96
TBEE80701X,58,58
TBEE807021,143,139
TBEE80801Q,10,10
TBEE80802R,16,16
TBEE80803T,44,42
TBEE80804V,48,46
TBEE80901G,103,96
TBEE80902L,19,18
TBEE80903N,24,24
TBEE80904P,57,57
TBEE81101G,335,316
TBEE81102L,44,43
TBEE81103N,23,23
TBEE81202C,35,19
TBEE81203D,18,18
TBEE81203D,25,19
TBEE81204E,79,77
TBEE81205G,58,56
TBEE81206L,22,22
TBEE813028,56,52
TBEE813017,136,114
TBEE813039,11,11
TBEE81304A,35,34
TBEE83901B,72,72
TBEE83902C,98,95
TBEE84008V,72,65
TBEE84006R,49,47
TBEE84002L,55,53
TBEE84001G,132,106
TBEE84003N,41,40
TBEE84005Q,43,43
TBEE83703T,76,66
TBEE83701Q,224,166
TBEE83702R,93,54
TBEE83704V,40,29
TBEE830022,53,50
TBEE830011,122,108
TBEE830033,30,30
TBEE830044,39,36
TBEE830055,11,7
TBEE830077,21,21
TBEE830088,27,25
TBEE84205B,38,38
TBEE84207D,18,18
TBEE842017,237,214
TBEE84206C,46,46
TBEE842028,116,111
TBEE842039,13,13
TBEE84204A,27,27
TBEE84503R,73,69
TBEE84501P,160,96
TBEE84504T,184,149
TBEE84502Q,192,99
TBEE84102C,67,43
TBEE84101B,343,246
TBEE83302D,104,102
TBEE83301C,77,48
TBEE83302D,69,67
TBEE83303E,18,16
TBEE83304G,24,24
TBEE83305L,76,74
TBEE814068,229,214
TBEE814057,37,34
TBEE814068,21,19
TBEE802051,46,39
TBEE814079,22,20
TBEE81409B,24,24
TBEE81408A,28,28
TBEE801022,21,21
TBEE801033,10,10
TBEE801011,58,58
TBEE801044,16,16
TBEE815031,15,13
TBEE81501V,88,81
TBEE81502X,64,56
TBEE815042,57,57
TBEE815053,11,11
TBEE815064,41,38
TBEE815075,35,35
TBEE81701E,213,178
TBEE81702G,39,37
TBEE81703L,45,44
TBEE81704N,22,22
TBEE81601P,142,130
TBEE81602Q,33,33
TBEE81603R,85,84
TBEE81604T,43,43
TBEE81606X,73,69
TBEE816071,15,15
TBEE83104X,11,11
TBEE83102T,37,34
TBEE83101R,247,208
TBEE83103V,22,22
TBEE83104X,59,59
TBEE81802B,16,16
TBEE81803C,83,83
TBEE81805E,15,15
TBEE81806G,25,25
TBEE81807L,35,35
TBEE81801A,198,185
TBEE81808N,16,16
TBEE823052,43,43
TBEE82302V,40,40
TBEE82301T,206,166
TBEE82303X,61,56
TBEE823041,24,21
TBEE843057,133,124
TBEE843046,111,103
TBEE843035,15,13
TBEE843024,12,12
TBEE843013,147,136
TBEE819027,53,49
TBEE819016,97,89
TBEE819038,66,62
TBEE82403Q,25,23
TBEE82404R,14,14
TBEE82405T,40,40
TBEE82406V,13,13
TBEE82407X,31,31
TBEE82401N,159,154
TBEE82402,20,20
TBEE800015,175,170
TBEE800026,50,50
TBEE83203P,79,55
TBEE83205R,16,13
TBEE83206T,285,219
TBEE83802L,50,50
TBEE83803N,30,30
TBEE83804P,20,19
TBEE83801G,62,62
TBEE83807T,43,43
TBEE83809X,45,45
TBEE83808V,31,31
TBEE82005E,16,14
TBEE82006G,39,39
TBEE82007L,55,54
TBEE82002B,17,17
TBEE82003C,21,21
TBEE82001A,99,99
TBEEA286K7,51,47
TBEE844053,79,79
TBEE844064,116,110
TBEE84401V,101,93
TBEE84402X,56,53
TBEE844031,44,41
TBEE 82503G,72,63
TBEE82504L,38,38
TBEE82501D,111,109
TBEE82502E,31,30
TBEE821038,8,8
TBEE821027,72,65
TBEE821049,19,17
TBEE821016,192,172
TBEE834029,31,31
TBEE83403A,13,13
TBEE834018,111,111
TBEE83404B,80,79
TBEE83405C,9,9
TBEE83406D,61,61
TBEE822056,61,61
TBEE822045,29,29
TBEE822034,50,50
TBEE822012,118,114
TBEE82605D,101,101
TBEE826019,62,57
TBEE82603B,43,43
TBEE82604C,31,31
TBEE82602A,55,51
TBEE827037,38,38
TBEE827048,41,41
TBEE827059,71,71
TBEE827015,86,69
TBEE827026,63,60
TB1E002003,43,43
TBMM00700V,557,482
TBMM013006,418,376
TBMM01500T,346,298
TBMM05400C,98,64
TBMM80401B,221,215
TBMM80201Q,178,153
TBMM80301G,100,95
TBMM805017,283,202
TBMM805017,283,202
TBMM835013,234,201
TBMM83601V,210,105
TBMM81001P,361,325
TBMM82801X,448,416
TBMM82901Q,342,295
TBMM806013,100,94
TBMM806024,78,65
TBMM80701V,374,348
TBMM80801P,89,89
TBMM80901E,155,141
TBMM81101E,248,241
TBMM81201A,136,122
TBMM813016,147,138
TBMM83901A,477,425
TBMM84001E,214,197
TBMM83701P,219,165
TBMM83001X,165,152
TBMM84501N,372,258
TBMM84101A,205,135
TBMM84102B,74,73
TBMM842016,219,206
TBMM842027,107,105
TBMM83301B,148,124
TBMM814012,240,217
TBMM80101X,42,40
TBMM801021,19,19
TBMM81501T,192,183
TBMM81701D,132,113
TBMM81601N,228,219
TBMM83101Q,195,178
TBMM818019,267,255
TBMM82301R,274,237
TBMM843012,263,249
TBMM819015,117,108
TBMM82401L,171,167
TBMM800014,144,140
TBMM83201G,52,42
TBMM83801E,557,482
TBMM84401T,270,254
TBMM82501C,161,152
TBMM821015,181,168
TBMM834017,88,87
TBMM834028,96,96
TBMM822011,98,97
TBMM826018,150,150
TBMM827014,188,178
TBTA018018,590,571
TBTE01000E,735,574
TBIS02400Q,581,521
TBPC08000A,681,600
TBIS022004,524,464
TBIS019008,568,500
TBRC13000T,224,199
TBIS021008,354,328
TBIS01200D,775,676
TBIS01600R,691,592
TBPS02000T,504,423
TBPM040004,471,402
TBRC16000N,585,522
TBPM05000P,645,541
TBPM01401L,906,647
TBPS110004,515,449
TBTF05000Q,545,480
TBTF03000E,468,436
TBTD03050N,640,482
TBIS02300X,584,401
TBTD01701V,486,362
t390474573411,1127,1039
t390472273800,490,355
t390473205900,531,503
t390471562500,460,401
t390472273900,453,421
t390473274900,725,630
t390471540700,931,920
t390473737911,490,468
t390471973494,476,404
t390473203200,261,216
t390474530341,451,434
t390473836500,174,173
t390473732180,118,104
t390471599100,201,199
t390473920962,95,81
t390471812600,45,39
t390474573811,158,153
t390472833711,117,115
