CODICESCUOLA,NUMEROSTUDENTI,STUDENTIIRC
TBEE001012,364,346
TBEE001045,35,35
TBEE001067,8,8
TBEE001078,132,132
TBEE00201T,390,306
TBEE00203X,76,63
TBEE002041,75,61
TBEE00801R,371,339
TBEE00802T,100,99
TBEE00803V,87,78
TBEE00804X,69,69
TBEE008051,94,93
TBEE014003,149,127
TBEE014025,37,29
TBEE014036,66,61
TBEE014047,38,38
TBEE014058,49,49
TBEE014069,78,75
TBEE01407A,14,14
TBEE01408B,15,14
TBEE01409C,21,21
TBEE01501X,84,82
TBEE015021,34,33
TBEE015032,73,73
TBEE015043,36,32
TBEE015054,22,9
TBEE015065,160,158
TBEE015076,13,13
TBEE015087,83,83
TBEE01602R,129,127
TBEE01701G,184,167
TBEE01702L,29,23
TBEE01706R,25,25
TBEE01707T,60,47
TBEE01709X,108,60
TBEE019006,202,188
TBEE030012,155,127
TBEE030023,60,58
TBEE030045,17,16
TBEE030056,23,23
TBEE030067,77,77
TBEE030089,63,63
TBEE03100R,168,142
TBEE03102V,31,28
TBEE03900B,104,98
TBEE042018,139,127
TBEE042029,83,83
TBEE04203A,17,17
TBEE04204B,30,2
TBEE04205C,23,17
TBEE04206D,32,31
TBEE04207E,50,47
TBEE04208G,30,30
TBEE04209L,63,63
TBEE100013,265,233
TBEE100024,81,73
TBEE100035,164,156
TBEE100046,94,89
TBEE10100T,299,271
TBEE10102X,22,22
TBEE101031,21,20
TBEE101042,23,23
TBEE101053,89,88
TBEE101064,144,109
TBEE800015,173,168
TBEE800026,45,44
TBEE801011,23,23
TBEE801022,13,13
TBEE801033,49,49
TBEE801044,8,8
TBEE80202T,110,103
TBEE80203V,89,86
TBEE80204X,112,105
TBEE802051,40,36
TBEE80402D,54,49
TBEE80403E,65,65
TBEE80404G,28,28
TBEE80405L,47,46
TBEE80406N,39,39
TBEE80407P,15,15
TBEE805018,203,146
TBEE805029,93,80
TBEE806014,105,101
TBEE806025,30,30
TBEE806036,46,42
TBEE806047,39,37
TBEE806058,83,71
TBEE80701X,51,49
TBEE807021,142,130
TBEE80801Q,20,20
TBEE80802R,19,19
TBEE80803T,47,47
TBEE80804V,58,56
TBEE80902L,24,22
TBEE80903N,23,23
TBEE80904P,68,67
TBEE81001Q,148,133
TBEE81002R,37,37
TBEE81003T,40,40
TBEE81004V,84,84
TBEE81005X,20,20
TBEE810072,200,193
TBEE81101G,353,342
TBEE81102L,61,61
TBEE81103N,27,27
TBEE81201B,14,9
TBEE81202C,31,11
TBEE81203D,22,22
TBEE81204E,86,86
TBEE81205G,58,57
TBEE81206L,32,32
TBEE813017,175,159
TBEE813028,63,58
TBEE813039,7,7
TBEE81304A,26,24
TBEE814035,260,239
TBEE814057,24,24
TBEE814068,19,18
TBEE814079,14,14
TBEE81408A,24,24
TBEE81409B,21,20
TBEE81501V,112,104
TBEE81502X,66,62
TBEE815031,11,11
TBEE815042,46,46
TBEE815053,16,16
TBEE815064,36,33
TBEE815075,33,33
TBEE81601P,136,127
TBEE81602Q,35,35
TBEE81603R,81,77
TBEE81604T,32,32
TBEE81606X,83,80
TBEE816071,18,18
TBEE81703L,31,29
TBEE81704N,20,20
TBEE81801A,201,194
TBEE81802B,20,20
TBEE81803C,96,96
TBEE81805E,15,15
TBEE81806G,23,23
TBEE81807L,42,42
TBEE81808N,25,25
TBEE819016,98,93
TBEE819027,48,43
TBEE819038,45,42
TBEE82001A,108,106
TBEE82002B,14,14
TBEE82003C,14,14
TBEE82005E,25,25
TBEE82006G,46,45
TBEE82007L,56,56
TBEE821016,182,166
TBEE821027,58,56
TBEE821038,8,7
TBEE821049,25,25
TBEE822012,95,95
TBEE822034,34,34
TBEE822045,21,21
TBEE822056,53,53
TBEE82301T,182,148
TBEE82302V,33,33
TBEE82303X,61,58
TBEE823041,17,17
TBEE823052,48,48
TBEE82401N,142,142
TBEE82402P,22,22
TBEE82403Q,25,25
TBEE82404R,26,26
TBEE82405T,47,47
TBEE82406V,12,12
TBEE82407X,20,20
TBEE82502E,32,32
TBEE82503G,70,62
TBEE82504L,32,32
TBEE826019,54,52
TBEE82602A,32,32
TBEE82603B,29,29
TBEE82604C,62,62
TBEE82605D,84,84
TBEE827015,93,85
TBEE827026,66,63
TBEE827037,48,47
TBEE827048,57,57
TBEE827059,64,64
TBEE828011,107,105
TBEE828033,62,60
TBEE828044,19,19
TBEE828055,68,68
TBEE82903V,51,49
TBEE82904X,38,37
TBEE829051,55,53
TBEE829084,142,132
TBEE829095,20,20
TBEE829107,29,29
TBEE829118,151,150
TBEE830011,115,103
TBEE830022,50,50
TBEE830033,35,35
TBEE830044,29,26
TBEE830055,7,7
TBEE830066,25,25
TBEE830088,25,25
TBEE83101R,228,211
TBEE83102T,25,25
TBEE83103V,18,18
TBEE83104X,55,55
TBEE831051,18,18
TBEE83203P,72,58
TBEE83205R,21,21
TBEE83206T,262,209
TBEE83301C,76,45
TBEE83302D,64,63
TBEE83303E,26,23
TBEE83304G,27,24
TBEE83305L,59,58
TBEE834029,39,39
TBEE83403A,4,4
TBEE83404B,82,81
TBEE83405C,24,24
TBEE83406D,58,58
TBEE835014,425,373
TBEE83601X,428,251
TBEE83701Q,226,175
TBEE83702R,107,74
TBEE83703T,84,74
TBEE83704V,15,13
TBEE83801G,51,50
TBEE83802L,40,39
TBEE83803N,27,27
TBEE83804P,22,22
TBEE83807T,39,39
TBEE83808V,28,28
TBEE83809X,36,36
TBEE83901B,61,60
TBEE83902C,90,89
TBEE84001G,124,98
TBEE84002L,63,61
TBEE84003N,36,31
TBEE84005Q,32,32
TBEE84006R,60,59
TBEE84008V,61,57
TBEE84101B,279,206
TBEE84102C,66,44
TBEE84103D,121,119
TBEE842017,288,271
TBEE842028,106,99
TBEE842039,12,12
TBEE84204A,23,23
TBEE84205B,44,44
TBEE84206C,56,52
TBEE84207D,28,28
TBEE843013,148,141
TBEE843024,8,8
TBEE843035,13,13
TBEE843057,165,156
TBEE84401V,132,125
TBEE84402X,61,59
TBEE844031,53,49
TBEE844042,60,57
TBEE844053,79,74
TBEE844064,109,103
TBEE84501P,174,121
TBEE84502Q,182,114
TBEE84503R,86,86
TBEE84504T,188,141
TBMM80401B,104,101
TBMM80901E,143,133
TBMM834017,115,115
TBMM00700V,513,469
TBMM013006,423,377
TBMM01500T,358,325
TBMM05400C,121,90
TBMM800014,154,151
TBMM80101X,33,33
TBMM801021,19,19
TBMM80201Q,182,167
TBMM80202R,98,97
TBMM80401B,244,242
TBMM805017,262,210
TBMM805017b,126,92
TBMM806013,119,112
TBMM806024,60,56
TBMM80701V,373,353
TBMM80801P,99,98
TBMM80901E,141,138
TBMM81001P,375,348
TBMM81101E,206,199
TBMM81201A,177,156
TBMM813016,132,127
TBMM814012,227,212
TBMM81501T,191,186
TBMM81601N,273,257
TBMM81701D,124,110
TBMM818019,269,263
TBMM819015,116,111
TBMM820019,255,240
TBMM821015,154,144
TBMM822011,76,76
TBMM822022,63,63
TBMM82301R,237,213
TBMM82401L,182,180
TBMM82501C,187,182
TBMM826018,166,160
TBMM827014,200,188
TBMM82801X,433,404
TBMM82901Q,335,317
TBMM83001X,155,146
TBMM83101Q,256,246
TBMM83201G,63,44
TBMM83301B,152,133
TBMM834017,104,104
TBMM834028,101,100
TBMM835013,255,226
TBMM83601V,229,157
TBMM83701P,188,164
TBMM83801E,165,163
TBMM83901A,434,396
TBMM84001E,203,182
TBMM84101A,197,153
TBMM84102B,66,65
TBMM842016,222,211
TBMM842027,111,111
TBMM843012,262,250
TBMM84401T,241,227
TBMM84501N,373,285
TBIS01800C,622,589
TBTE01000E,741,634
TBIS02400Q,586,540
TBPC08000A,777,687
TBIS022004,512,494
TBIS019008,587,529
TBIS021008,390,360
TBIS01200D,725,694
TBPS016017,697,599
TBRC13000T,268,243
TBPM040004,505,455
TBRC16000N,652,615
TBPM05000P,684,641
TBIS014005,1008,796
TBPS110004,644,551
TBTF05000Q,661,597
TBTF03000E,538,527
TBTD03050N,684,611
TBIS02300X,581,496
TBIS01700L,468,363
