CODICESCUOLA,NUMEROSTUDENTI,STUDENTIIRC
TBEE001012,350,340
TBEE001045,43,43
TBEE001067,5,5
TBEE001078,126,126
TBEE00201T,387,305
TBEE00203X,65,51
TBEE002041,68,55
TBEE00801R,384,327
TBEE00802T,92,92
TBEE00803V,91,82
TBEE00804X,77,75
TBEE008051,87,85
TBEE014003,158,138
TBEE014025,41,34
TBEE014036,62,60
TBEE014047,41,41
TBEE014058,49,49
TBEE014069,75,72
TBEE01407A,11,11
TBEE01408B,14,13
TBEE01409C,28,28
TBEE01501X,82,79
TBEE015021,37,36
TBEE015032,72,71
TBEE015043,36,35
TBEE015054,22,10
TBEE015065,160,157
TBEE015076,13,13
TBEE015087,71,71
TBEE01602R,121,115
TBEE01701G,181,160
TBEE01702L,28,21
TBEE01706R,26,25
TBEE01707T,65,49
TBEE01709X,100,55
TBEE019006,214,197
TBEE030012,144,116
TBEE030023,61,58
TBEE030045,16,14
TBEE030056,32,30
TBEE030067,70,70
TBEE030089,61,59
TBEE03100R,185,160
TBEE03102V,31,28
TBEE03900B,111,105
TBEE042018,153,137
TBEE042029,82,82
TBEE04203A,15,15
TBEE04204B,30,1
TBEE04205C,21,11
TBEE04206D,38,36
TBEE04207E,59,54
TBEE04208G,37,37
TBEE04209L,67,66
TBEE100013,268,232
TBEE100024,78,73
TBEE100035,179,170
TBEE100046,102,97
TBEE10100T,321,285
TBEE10102X,32,32
TBEE101031,25,25
TBEE101042,19,19
TBEE101053,86,84
TBEE101064,144,111
TBEE800015,186,181
TBEE800026,48,47
TBEE801011,22,22
TBEE801022,10,10
TBEE801033,55,55
TBEE801044,11,11
TBEE80202T,124,112
TBEE80203V,96,92
TBEE80204X,99,94
TBEE802051,37,32
TBEE80402D,57,51
TBEE80403E,67,67
TBEE80404G,31,31
TBEE80405L,40,38
TBEE80406N,33,33
TBEE80407P,14,14
TBEE805018,200,149
TBEE805029,101,92
TBEE806014,101,97
TBEE806025,25,25
TBEE806036,44,42
TBEE806047,47,45
TBEE806058,83,75
TBEE80701X,59,58
TBEE807021,142,130
TBEE80801Q,18,18
TBEE80802R,21,21
TBEE80803T,47,47
TBEE80804V,58,56
TBEE80902L,26,24
TBEE80903N,25,25
TBEE80904P,66,64
TBEE81001Q,150,134
TBEE81002R,37,37
TBEE81003T,39,39
TBEE81004V,75,75
TBEE81005X,20,20
TBEE810072,197,181
TBEE81101G,339,330
TBEE81102L,53,53
TBEE81103N,27,27
TBEE81201B,19,10
TBEE81202C,31,11
TBEE81203D,23,23
TBEE81204E,86,86
TBEE81205G,56,54
TBEE81206L,26,26
TBEE813017,158,143
TBEE813028,54,50
TBEE813039,11,11
