CODICESCUOLA,NUMEROSTUDENTI,STUDENTIIRC
IB1M00300C,301,301
IBIC816001,582,444
IBIC81200N,864,734
IBIC81700R,592,404
IBIC80900T,897,758
IBIC810002,399,299
IBIC80300V,652,549
IBIC81800L,970,925
IBIC81100T,863,798
IBIC81900C,998,883
IBIC815005,852,726
IBIC81300D,872,769
IBPC090009,234,171
IBTD040007,411,260
IBTF020008,1294,933
IBPS09000C,673,493
IBRC090001,545,416
IB1M00200L,381,381
IBIC80400P,372,322
IBIC814009,506,451
IBPC03000N,612,560
IBIC807006,253,207
IBTD025005,174,171
IBTL01000T,158,126
IBPS01000G,590,500
IBPC040008,742,554
IBPM020007,818,640
IBTE015002,179,177
IBPQ02500E,112,112
IBRH16500A,499,330
IBFP002452,262,157
IBFP002457,198,108
IBFP002451,541,337
IBFP002454,373,360
BZ01950000,3,3
