CODICESCUOLA,NUMEROSTUDENTI,STUDENTIIRC
IB1M00300C,284,284
IBIC816001,581,399
IBIC81200N,872,738
IBIC81700R,597,404
IBIC80900T,851,741
IBIC810002,460,372
IBIC80300V,664,554
IBIC81800L,963,909
IBIC81100T,902,819
IBIC81900C,633,547
IBIC815005,911,760
IBIC81300D,851,689
IBPC090009,229,169
IBTF020008,1266,893
IBPS09000C,673,313
IBRC090001,565,403
IB1M00200L,381,381
IBIC80400P,356,287
IBIC814009,505,408
IBPC03000N,561,502
IBIC81900C,398,355
IBIC807006,237,220
IBTD040007,368,247
IBTD025005,218,212
IBTL01000T,150,123
IBPS01000G,541,473
IBPC040008,790,629
IBPM020007,711,598
IBTE015002,177,166
IBPQ02500E,119,119
IBRH16500A,552,374
IBFP002452,253,200
IBFP002457,219,126
IBFP002451,510,404
IBFP002454,430,430
BZ01950000,22,22
