CODICESCUOLA,NUMEROSTUDENTI,STUDENTIIRC
IB1M00300C,308,303
IBIC816001,569,420
IBIC81200N,833,705
IBIC81700R,581,372
IBIC80900T,897,730
IBIC810002,360,293
IBIC80300V,638,507
IBIC81800L,936,872
IBIC81100T,865,811
IBIC81900C,986,853
IBIC815005,851,729
IBIC81300D,824,692
IBPC090009,251,191
IBTD040007,469,284
IBTF020008,1242,758
IBPS09000C,771,594
IBRC090001,551,424
IB1M00200L,344,339
IBIC80400P,422,341
IBIC814009,501,416
IBPC03000N,589,522
IBIC807006,269,228
IBTD025005,221,221
IBTL01000T,148,117
IBPS01000G,649,579
IBPC040008,720,559
IBPM020007,855,638
IBTE015002,179,177
IBPQ02500E,114,111
IBRH16500A,505,393
IBFP002452,243,138
IBFP002457,210,148
IBFP002451,488,380
IBFP002454,458,378
