CODICESCUOLA,NUMEROSTUDENTI,STUDENTIIRC
TBEE001012,360,339
TBEE001045,32,31
TBEE001067,6,6
TBEE001078,128,128
TBEE00201T,382,303
TBEE00203X,75,61
TBEE002041,65,52
TBEE00801R,353,300
TBEE00802T,91,91
TBEE00803V,81,75
TBEE00804X,75,73
TBEE008051,99,96
TBEE014003,143,125
TBEE014025,33,26
TBEE014036,68,63
TBEE014047,39,39
TBEE014058,49,49
TBEE014069,62,55
TBEE01407A,14,14
TBEE01408B,16,15
TBEE01409C,21,21
TBEE01501X,86,84
TBEE015021,27,26
TBEE015032,65,65
TBEE015043,36,31
TBEE015054,36,13
TBEE015065,149,149
TBEE015076,13,13
TBEE015087,85,85
TBEE01602R,136,135
TBEE01701G,192,172
TBEE01702L,34,27
TBEE01706R,27,27
TBEE01707T,49,35
TBEE01709X,119,69
TBEE019006,196,175
TBEE030012,153,131
TBEE030023,58,55
TBEE030045,16,15
TBEE030056,19,19
TBEE030067,75,75
TBEE030089,69,67
TBEE03100R,138,119
TBEE03102V,24,23
TBEE03900B,110,105
TBEE042018,144,130
TBEE042029,75,75
TBEE04203A,14,14
TBEE04204B,41,3
TBEE04205C,13,11
TBEE04206D,28,26
TBEE04207E,56,53
TBEE04208G,31,31
TBEE04209L,56,56
TBEE100013,267,242
TBEE100024,69,63
TBEE100035,151,140
TBEE100046,92,85
TBEE10100T,317,286
TBEE10102X,22,22
TBEE101031,23,23
TBEE101042,28,26
TBEE101053,90,89
TBEE101064,157,126
TBEE800015,187,181
TBEE800026,39,38
TBEE801011,24,24
TBEE801022,14,14
TBEE801033,49,49
TBEE801044,6,6
TBEE80202T,105,100
TBEE80203V,80,76
TBEE80204X,111,106
TBEE802051,41,38
TBEE80402D,64,58
TBEE80403E,56,56
TBEE80404G,31,31
TBEE80405L,45,44
TBEE80406N,36,36
TBEE80407P,17,15
TBEE805018,191,143
TBEE805029,91,82
TBEE806014,108,102
TBEE806025,35,34
TBEE806036,48,45
TBEE806047,35,32
TBEE806058,76,67
TBEE80701X,47,45
TBEE807021,141,124
TBEE80801Q,20,20
TBEE80802R,21,21
TBEE80803T,52,52
TBEE80804V,62,62
TBEE80902L,22,21
TBEE80903N,26,26
TBEE80904P,77,75
TBEE81001Q,141,126
TBEE81002R,37,37
TBEE81003T,35,35
TBEE81004V,74,74
TBEE81005X,19,19
TBEE810072,188,179
TBEE81101G,337,320
TBEE81102L,54,53
TBEE81103N,20,20
TBEE81201B,14,8
TBEE81202C,26,9
TBEE81203D,22,22
TBEE81204E,85,84
TBEE81205G,53,52
TBEE81206L,33,33
TBEE813017,168,158
TBEE813028,61,56
TBEE813039,6,6
TBEE81304A,24,24
TBEE814035,253,238
TBEE814057,24,24
TBEE814068,14,14
TBEE814079,13,13
TBEE81408A,25,25
TBEE81409B,14,14
TBEE81501V,107,100
TBEE81502X,67,65
TBEE815031,14,14
TBEE815042,48,48
TBEE815053,16,16
TBEE815064,35,30
TBEE815075,35,35
TBEE81601P,154,143
TBEE81602Q,28,28
TBEE81603R,83,76
TBEE81604T,27,27
TBEE81606X,97,94
TBEE816071,19,19
TBEE81703L,21,21
TBEE81704N,17,17
TBEE81801A,192,188
TBEE81802B,20,20
TBEE81803C,97,97
TBEE81805E,14,14
TBEE81806G,25,25
TBEE81807L,39,39
TBEE81808N,24,24
TBEE819016,96,92
TBEE819027,52,47
TBEE819038,46,41
TBEE82001A,106,105
TBEE82002B,16,16
TBEE82003C,15,15
TBEE82005E,24,24
TBEE82006G,55,53
TBEE82007L,61,61
TBEE821016,176,161
TBEE821027,71,68
TBEE821038,9,8
TBEE821049,26,26
TBEE822012,80,80
TBEE822034,39,39
TBEE822045,23,23
TBEE822056,59,59
TBEE82301T,181,146
TBEE82302V,32,32
TBEE82303X,68,66
TBEE823041,18,18
TBEE823052,42,42
TBEE82401N,141,141
TBEE82402P,20,20
TBEE82403Q,24,24
TBEE82404R,24,24
TBEE82405T,43,43
TBEE82406V,13,13
TBEE82407X,18,18
TBEE82502E,30,30
TBEE82503G,79,71
TBEE82504L,28,28
TBEE826019,57,54
TBEE82602A,26,26
TBEE82603B,36,36
TBEE82604C,60,60
TBEE82605D,78,78
TBEE827015,91,84
TBEE827026,56,54
TBEE827037,45,43
TBEE827048,51,51
TBEE827059,67,67
TBEE828011,119,116
TBEE828033,65,63
TBEE828044,17,17
TBEE828055,68,68
TBEE82903V,47,45
TBEE82904X,33,33
TBEE829051,57,55
TBEE829084,149,137
TBEE829095,22,22
TBEE829107,30,30
TBEE829118,163,161
TBEE830011,113,104
TBEE830022,44,44
TBEE830033,33,33
TBEE830044,28,24
TBEE830055,6,6
TBEE830066,24,24
TBEE830088,25,25
TBEE83101R,226,208
TBEE83102T,27,27
TBEE83103V,16,16
TBEE83104X,51,51
TBEE831051,19,19
TBEE83203P,65,50
TBEE83205R,18,18
TBEE83206T,263,220
TBEE83301C,66,42
TBEE83302D,67,67
TBEE83303E,23,21
TBEE83304G,30,27
TBEE83305L,52,52
TBEE834029,36,36
TBEE83403A,6,6
TBEE83404B,88,87
TBEE83405C,25,25
TBEE83406D,55,55
TBEE835014,429,383
TBEE83601X,409,244
TBEE83701Q,253,189
TBEE83702R,101,76
TBEE83703T,77,70
TBEE83704V,10,8
TBEE83801G,52,52
TBEE83802L,37,37
TBEE83803N,21,21
TBEE83804P,17,17
TBEE83807T,41,41
TBEE83808V,27,27
TBEE83809X,40,39
TBEE83901B,54,54
TBEE83902C,87,86
TBEE84001G,123,98
TBEE84002L,59,57
TBEE84003N,35,35
TBEE84005Q,33,33
TBEE84006R,65,64
TBEE84008V,62,57
TBEE84101B,272,212
TBEE84102C,53,37
TBEE84103D,116,115
TBEE842017,278,270
TBEE842028,101,98
TBEE842039,8,8
TBEE84204A,24,24
TBEE84205B,48,48
TBEE84206C,64,62
TBEE84207D,33,33
TBEE843013,137,131
TBEE843024,8,8
TBEE843035,16,16
TBEE843057,155,147
TBEE84401V,134,127
TBEE84402X,64,64
TBEE844031,57,53
TBEE844042,61,58
TBEE844053,87,83
TBEE844064,107,103
TBEE84501P,185,129
TBEE84502Q,176,115
TBEE84503R,93,92
TBEE84504T,166,122
TBMM80401B,123,119
TBMM80901E,134,126
TBMM834017,113,113
TBMM00700V,519,465
TBMM013006,448,418
TBMM01500T,339,314
TBMM05400C,112,97
TBMM800014,156,151
TBMM80101X,31,31
TBMM801021,16,16
TBMM80201Q,169,164
TBMM80202R,103,101
TBMM80401B,252,249
TBMM805017,282,219
TBMM805017b,134,113
TBMM806013,126,119
TBMM806024,63,58
TBMM80701V,380,356
TBMM80801P,94,94
TBMM80901E,137,133
TBMM81001P,391,362
TBMM81101E,223,210
TBMM81201A,172,161
TBMM813016,141,136
TBMM814012,235,221
TBMM81501T,195,192
TBMM81601N,271,258
TBMM81701D,125,117
TBMM818019,279,273
TBMM819015,107,102
TBMM820019,273,256
TBMM821015,145,132
TBMM822011,76,76
TBMM822022,63,63
TBMM82301R,234,213
TBMM82401L,184,183
TBMM82501C,186,180
TBMM826018,152,148
TBMM827014,213,202
TBMM82801X,417,385
TBMM82901Q,324,305
TBMM83001X,171,160
TBMM83101Q,258,251
TBMM83201G,70,48
TBMM83301B,133,118
TBMM834017,107,107
TBMM834028,96,95
TBMM835013,259,235
TBMM83601V,236,171
TBMM83701P,173,155
TBMM83801E,178,174
TBMM83901A,450,428
TBMM84001E,189,173
TBMM84101A,200,157
TBMM84102B,76,76
TBMM842016,221,209
TBMM842027,120,120
TBMM843012,286,272
TBMM84401T,213,203
TBMM84501N,368,297
TBIS01800C,623,599
TBTE01000E,739,667
TBIS02400Q,559,529
TBPC08000A,790,688
TBIS022004,478,462
TBIS019008,551,491
TBIS021008,365,331
TBIS01200D,694,627
TBPS016017,724,601
TBRC13000T,267,242
TBPM040004,540,502
TBRC16000N,624,589
TBPM05000P,664,632
TBIS014005,953,651
TBPS110004,654,580
TBTF05000Q,642,628
TBTF03000E,531,524
TBTD03050N,663,603
TBIS02300X,570,464
TBIS01700L,441,338
