CODICESCUOLA,NUMEROSTUDENTI,STUDENTIIRC
IB1M00300C,300,297
IBIC816001,575,458
IBIC81200N,867,766
IBIC81700R,601,407
IBIC80900T,865,724
IBIC810002,390,310
IBIC80300V,629,507
IBIC81800L,940,887
IBIC81100T,884,820
IBIC81900C,979,857
IBIC815005,839,712
IBIC81300D,820,708
IBPC090009,215,145
IBTD040007,419,256
IBTF020008,1390,921
IBPS09000C,714,559
IBRC090001,553,430
IB1M00200L,384,382
IBIC80400P,390,334
IBIC814009,503,444
IBPC03000N,593,542
IBIC807006,265,219
IBTD025005,194,193
IBTL01000T,161,126
IBPS01000G,626,557
IBPC040008,709,528
IBPM020007,857,641
IBTE015002,176,175
IBPQ02500E,117,117
IBRH16500A,496,336
IBFP002452,238,147
IBFP002457,202,121
IBFP002451,504,324
IBFP002454,392,345
